orderId,drugbankId,name,category,chemicalFormula,smiles,description,relatedDrugs
91,DB08970,Fluprednidene,Small Molecule,C22H27FO5,[H][C@@]12CC(=C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Fluprednidene is a corticosteroid.,"['DrugA', 'DrugB', 'DrugC']"
92,DB00741,Hydrocortisone,Small Molecule,C21H30O5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"Hydrocortisone, or cortisol, is a glucocorticoid secreted by the adrenal cortex.7 Hydrocortisone is used to treat immune, inflammatory, and neoplastic conditions.14,15,16,17,18,19 It was discovered in the 1930s by Edward Kendall and named Compound F, or 17-hydroxycorticosterone.9 Hydrocortisone was granted FDA approval on 5 August 1952.20","['DrugA', 'DrugB', 'DrugC']"
93,DB01047,Fluocinonide,Small Molecule,C26H32F2O7,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(C)=O,A topical glucocorticoid used in the treatment of eczema.,"['DrugA', 'DrugB', 'DrugC']"
94,DB01377,Magnesium oxide,Small Molecule,MgO,[O--].[Mg++],Magnesium oxide is an inorganic compound that occurs in nature as the mineral periclase. In aqueous media combines quickly with water to form magnesium hydroxide. It is used as an antacid and mild laxative and has many nonmedicinal uses.,"['DrugA', 'DrugB', 'DrugC']"
95,DB11921,Deflazacort,Small Molecule,C25H31NO6,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@]([H])(O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O,"Deflazacort, also known as Emflaza, is a corticosteroid prodrug used as an agent to manage Duchenne Muscular Dystrophy (DMD). It is marketed by Marathon Pharmaceuticals and was approved in February 2017 by the FDA.14,Label Duchenne Muscular Dystrophy is an inherited disorder resulting from mutations of the dystrophin gene, which is important for muscle function. This disease can cause serious muscle weakness and progressive breathing and cardiovascular disability, severely impacting patient quality of life and survival.3,4,15 This disease usually manifests by muscle weakness in early childhood followed by loss of the ability to walk (ambulation) as early as age 7.4 Deflazacort delays the onset of muscle related complications resulting from DMD6, prolonging the lives of children diagnosed with this disease and exerting less harmful effects on the bone health and weight than other steroid medications.5,7","['DrugA', 'DrugB', 'DrugC']"
96,DB00959,Methylprednisolone,Small Molecule,C22H30O5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,"Methylprednisolone is a prednisolone derivative glucocorticoid with higher potency than prednisone.9 It was first described in the literature in the late 1950s.9,10 Methylprednisolone was granted FDA approval on 24 October 1957.12 In the outbreak of COVID-19, low dose methylprednisolone-based therapy was successful in treating COVID-19-associated pneumonia in one patient with long-term immunosuppression.11 The efficacy of methylprednisolone in novel coronavirus pneumonia is being investigated further in clinical trials.15","['DrugA', 'DrugB', 'DrugC']"
97,DB01390,Sodium bicarbonate,Small Molecule,CHNaO3,[Na+].OC([O-])=O,"Sodium bicarbonate is a white, crystalline powder that is commonly used as a pH buffering agent, an electrolyte replenisher, systemic alkalizer and in topical cleansing solutions.","['DrugA', 'DrugB', 'DrugC']"
98,DB00764,Mometasone,Small Molecule,C22H28Cl2O4,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Mometasone is a corticosteroid not currently used in medical products. Mometasone furoate however, is still in use.","['DrugA', 'DrugB', 'DrugC']"
99,DB00394,Beclomethasone dipropionate,Small Molecule,C28H37ClO7,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Beclomethasone dipropionate is a second-generation10 synthetic corticosteroid and diester of beclomethasone, which is structurally similar to dexamethasone.11 It is a prodrug of an active metabolite beclomethasone 17-monopropionate (17-BMP)1 which acts on the glucocorticoid receptor to mediates its therapeutic action. Beclomethasone dipropionate itself posesses weak glucocorticoid receptor binding affinity and is rapidly converted into 17-BMP upon administration.1 Formulations for oral inhalation, intranasal, and topical use are available for beclomethasone dipropionate. Beclomethasone dipropionate became first available in a pressurized metered-dose inhaler in 1972 and later in a dry powder inhaler and an aqueous nasal spray.1 Due to its anti-inflammatory, antipruritic, and anti-allergy properties, beclomethasone dipropionate is used in various inflammatory conditions, such as asthma, allergic rhinitis, and dermatoses to reduce symptoms. When inhaled, it is proposed that beclomethasone dipropionate remains active locally in the lung without causing significant side effects associated with systemic corticosteroids.8 Compared to earlier corticosteroids such as dexamethasone and prednisolone, beclomethasone dipropionate is reported to be less irritating to the nasal mucosa with a longer duration of action when administered intranasally.3","['DrugA', 'DrugB', 'DrugC']"
100,DB09095,Difluocortolone,Small Molecule,C22H28F2O4,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Difluocortolone is a potent topical corticosteroid. It is commonly used in dermatology for the reduction of inflammation and itching. It was submitted to the FDA in July 1984 by the pharmaceutical company Schering AG.3,"['DrugA', 'DrugB', 'DrugC']"
101,DB00253,Medrysone,Small Molecule,C22H32O3,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Medrysone is a corticosteroid used in ophthalmology.,"['DrugA', 'DrugB', 'DrugC']"
102,DB09091,Tixocortol,Small Molecule,C21H30O4S,[H][C@@]12CC[C@](O)(C(=O)CS)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Tixocortol is a 21-thiol derivative of hydrocortisone classified as a class A corticosteroid. It is a synthetic steroid with topical anti-inflammatory properties without the systemic glucocorticoid and mineralocorticoid activities and toxicity.11,"['DrugA', 'DrugB', 'DrugC']"
103,DB00443,Betamethasone,Small Molecule,C22H29FO5,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Betamethasone is a long-acting corticosteroid with immunosuppressive and antiinflammatory properties.11 It can be used topically to manage inflammatory skin conditions such as eczema, and parenterally to manage several disease states including autoimmune disorders.11 Betamethasone has potent glucocorticoid activity and negligible mineralocorticoid activity.11","['DrugA', 'DrugB', 'DrugC']"
104,DB00596,Ulobetasol,Small Molecule,C22H27ClF2O4,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"Ulobetasol is a highly potent corticosteroid.6 It is structurally related to clobetasol.6 Due to its high potency, it is mainly prescribed in the treatment of severe plaque psoriasis and corticosteroid responsive dermatoses.7,8,10 Ulobetasol was granted FDA approval on 17 December 1990.7","['DrugA', 'DrugB', 'DrugC']"
105,DB00663,Flumethasone,Small Molecule,C22H28F2O5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"Flumethasone is a moderately potent difluorinated corticosteroid ester with anti-inflammatory, antipruritic and vasoconstrictive properties. As it is a privalate salt, its anti-inflammatory action is concentrated at the site of application. This local effect on diseased areas results in a prompt decrease in inflammation, exudation and itching.","['DrugA', 'DrugB', 'DrugC']"
106,DB00591,Fluocinolone acetonide,Small Molecule,C24H30F2O6,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,"Fluocinolone acetonide, with the formula 6-alpha, 9-alpha-difluoro-16-alpha, 17 alpha-acetonide, is a corticosteroid that presents a high lipophilicity.8 It has been used extensively in dermatological preparations and it has also been investigated thoroughly for its use in implantable corticosteroid devices.9 This type of device containing fluocinolone acetonide was developed by Taro Pharmaceuticals and approved by FDA in May 2016.11","['DrugA', 'DrugB', 'DrugC']"
107,DB00687,Fludrocortisone,Small Molecule,C21H29FO5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"Fludrocortisone is a synthetic mineralocorticoid used in conjunction with hydrocortisone to replace missing endogenous corticosteroids in patients with adrenal insufficiency.9,11 It is functionally similar to aldosterone, the body's primary endogenous mineralocorticoid, and is structurally analogous to cortisol, differing only by a fluorine atom at the 9-position of the steroid structure - this fluorination is thought to be crucial to fludrocortisone's significant mineralocorticoid potency.7","['DrugA', 'DrugB', 'DrugC']"
108,DB08905,Formestane,Small Molecule,C19H26O3,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,"Formestane was the first selective, type I, steroidal aromatase inhibitor used in the treatment of estrogen-receptor positive breast cancer in post-menopausal women. Formestane suppresses estrogen production from anabolic steroids or prohormones. Formestane is also a prohormone of 4-hydroxytestosterone, an active steroid with weak androgenic activity and mild aromatase inhibitor activity. It is listed as a prohibited substance by the World Anti-Doping Agency for use in athletes.  Formestane has poor oral bioavailability, and thus must be administered fortnightly (bi-weekly) by intramuscular injection. Some clinical data has suggested that the clinically recommended dose of 250mg was too low. With the discovery of newer, non-steroidal and steroidal, aromatase inhibitors which were orally active and less expensive than formestane, formestane lost popularity.  Currently, formestane (categorized as an anti-estrogenic agent) is prohibited from use in sports in accordance to the regulations of the World Anti-Doping Agency. It is not US FDA approved, and the intramuscular injection form of formestane (Lentaron) which was approved in Europe has been withdrawn.","['DrugA', 'DrugB', 'DrugC']"
109,DB00240,Alclometasone,Small Molecule,C22H29ClO5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,"Alclometasone is synthetic glucocorticoid steroid for topical use in dermatology as anti-inflammatory, antipruritic, antiallergic, antiproliferative and vasoconstrictive agent.","['DrugA', 'DrugB', 'DrugC']"
110,DB00547,Desoximetasone,Small Molecule,C22H29FO4,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"A topical anti-inflammatory glucocorticoid used in dermatoses, skin allergies, psoriasis, etc.","['DrugA', 'DrugB', 'DrugC']"
111,DB08906,Fluticasone furoate,Small Molecule,C27H29F3O6S,[H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Fluticasone furoate is a synthetic glucocorticoid available as an inhaler and nasal spray for various inflammatory indicationsLabel19. Fluticasone furoate was first approved in 20077.,"['DrugA', 'DrugB', 'DrugC']"
112,DB13158,Clobetasone,Small Molecule,C22H26ClFO4,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl,"Clobetasone is a corticosteroid that is often employed topically as a treatment for a variety of conditions such as eczema, psoriasis, various forms of dermatitis, and also for certain ophthalmologic conditions. Topical clobetasone butyrate has shown minimal suppression of the Hypothalamic-pituitary-adrenal axis.","['DrugA', 'DrugB', 'DrugC']"
113,DB00223,Diflorasone,Small Molecule,C22H28F2O5,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Diflorasone is a topical corticosteroid used to treat itching and inflammation of the skin.,"['DrugA', 'DrugB', 'DrugC']"
114,DB00288,Amcinonide,Small Molecule,C28H35FO7,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Amcinonide is a corticosteroid.,"['DrugA', 'DrugB', 'DrugC']"
115,DB02187,Equilin,Small Molecule,C18H20O2,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC=C21)C=C(O)C=C3,An estrogenic steroid produced by horses. It has a total of four double bonds in the A- and B-ring. High concentration of equilin is found in the urine of pregnant mares.,"['DrugA', 'DrugB', 'DrugC']"
116,DB01410,Ciclesonide,Small Molecule,C32H44O7,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,Ciclesonide is a glucocorticoid used to treat obstructive airway diseases. It is marketed under the brand name Alvesco.,"['DrugA', 'DrugB', 'DrugC']"
117,DB00896,Rimexolone,Small Molecule,C24H34O3,[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Rimexolone is a 1% eye drop solution is a glucocorticoid steroid. It is used to treat inflammation in the eye. It is marketed as Vexol.,"['DrugA', 'DrugB', 'DrugC']"
118,DB08938,Magaldrate,Small Molecule,Al5H33Mg10O40S2,O.[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,"Magaldrate is an antacid drug used for the treatment of esophagitis, duodenal and gastric ulcers, and gastroesophageal reflux. Magaldrate has been discontinued in the US market.","['DrugA', 'DrugB', 'DrugC']"
119,DB01234,Dexamethasone,Small Molecule,C22H29FO5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Dexamethasone, or MK-125, is a corticosteroid fluorinated at position 9 used to treat endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, gastrointestinal, respiratory, hematologic, neoplastic, edematous, and other conditions.13 Developed in 1957, it is structurally similar to other corticosteroids like hydrocortisone and prednisolone.9 Dexamethasone was granted FDA approval on 30 October 1958.11 In a press release for the Randomized Evaluation of COVID-19 Therapy (RECOVERY) trial on 16 June 2020, dexamethasone was recommended for use in COVID-19 patients with severe respiratory symptoms. Dexamethasone reduced deaths by approximately one third in patients requiring ventilation and by one fifth in those requiring oxygen.22","['DrugA', 'DrugB', 'DrugC']"
120,DB00620,Triamcinolone,Small Molecule,C21H27FO6,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Triamcinolone is a corticosteroid used to treat various inflammatory conditions in the body from allergic rhinitis to acute exacerbations of multiple sclerosis.13 Triamcinolone can be used as a one time adjunct treatment of osteoarthritic knee pain,16 or first line as a topical treatment of corticosteroid responsive dermatoses.11 Triamcinolone is more commonly seen in the forms triamcinolone hexacetonide, triamcinolone acetonide, and triamcinolone diacetate.10,11,12,13,14,15,16 Triamcinolone was granted FDA approval on 3 December 1957.9 In October 2021, a suspension of triamcinolone acetonide was approved for suprachoroidal injection - the first suprachoroidal injection to receive FDA approval19 - for the treatment of patients with macular edema associated with uveitis.18","['DrugA', 'DrugB', 'DrugC']"
121,DB01260,Desonide,Small Molecule,C24H32O6,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,A nonfluorinated corticosteroid anti-inflammatory agent used topically for dermatoses.,"['DrugA', 'DrugB', 'DrugC']"
122,DB06786,Halcinonide,Small Molecule,C24H32ClFO5,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"Halcinonide is a corticosteroid indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, and is distributed as a cream and ointment. Halcinonide is marketed under the brand name Halog® by Ranbaxy Laboratories Inc. Research suggests that clobetasol propionate demonstrates superior pharmacologic efficacy in the treatment of psoriasis when compared to halcinonide.","['DrugA', 'DrugB', 'DrugC']"
123,DB06781,Difluprednate,Small Molecule,C27H34F2O7,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"Difluprednate is a topical corticosteroid indicated for the treatment of infammation and pain associated with ocular surgery. It is a butyrate ester of 6(α), 9(α)-difluoro prednisolone acetate. Difluprednate is abbreviated DFBA, or difluoroprednisolone butyrate acetate. It is indicated for treatment of endogenous anterior uveiti.","['DrugA', 'DrugB', 'DrugC']"
124,DB00655,Estrone,Small Molecule,C18H22O2,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,"Estrone, one of the major mammalian estrogens, is an aromatized C18 steroid with a 3-hydroxyl group and a 17-ketone. It is produced in vivo from androstenedione or from testosterone via estradiol. It is produced primarily in the ovaries, placenta, and in peripheral tissues (especially adipose tissue) through conversion of adrostenedione. Estrone may be further metabolized to 16-alpha-hydroxyestrone, which may be reduced to estriol by estradiol dehydrogenase.","['DrugA', 'DrugB', 'DrugC']"
125,DB00180,Flunisolide,Small Molecule,C24H31FO6,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,"Flunisolide (marketed as AeroBid, Nasalide, Nasarel) is a corticosteroid with anti-inflammatory actions. It is often prescribed as treatment for allergic rhinitis and its principle mechanism of action involves activation of glucocorticoid receptors.","['DrugA', 'DrugB', 'DrugC']"
126,DB01708,Prasterone,Small Molecule,C19H28O2,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C,"Prasterone, also known as dehydroepiandrosterone (DHEA) is a major C19 steroid produced by the adrenal cortex. It is also produced in small quantities in the testis and the ovary. Dehydroepiandrosterone (DHEA) can be converted to testosterone; androstenedione; estradiol; and estrone. Most of DHEA is sulfated (dehydroepiandrosterone sulfate) before secretion. In the United States, DHEA or DHEAS have been advertised with claims that they may be beneficial for a wide variety of ailments. DHEA and DHEAS are readily available in the United States, where they are marketed as over-the-counter dietary supplements. In November 2016, DHEA was approved (as Intrarosa) to treat women experiencing moderate to severe pain during sexual intercourse (dyspareunia), a symptom of vulvar and vaginal atrophy (VVA), due to menopause. In Canada, a prescription is required to buy DHEA.","['DrugA', 'DrugB', 'DrugC']"
127,DB01384,Paramethasone,Small Molecule,C22H29FO5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"A glucocorticoid with the general properties of corticosteroids. It has been used by mouth in the treatment of all conditions in which corticosteroid therapy is indicated except adrenal-deficiency states for which its lack of sodium-retaining properties makes it less suitable than hydrocortisone with supplementary fludrocortisone. (From Martindale, The Extra Pharmacopoeia, 30th ed, p737)","['DrugA', 'DrugB', 'DrugC']"
128,DB01380,Cortisone acetate,Small Molecule,C23H30O6,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"Cortisone acetate was first isolate in 1935 and became more widely researched in 1949.1 Since then, glucocorticoids such as cortisone acetate have been used to treat a number of inflammatory conditions such as endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, and gastrointestinal diseases and disorders.2,8 Cortisone acetate was granted FDA approval on 13 June 1950.7","['DrugA', 'DrugB', 'DrugC']"
129,DB08971,Fluocortolone,Small Molecule,C22H29FO4,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Fluocortolone is a glucocorticoid with anti-inflammatory activity used topically for various skin disorders.,"['DrugA', 'DrugB', 'DrugC']"
130,DB01222,Budesonide,Small Molecule,C25H34O6,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Budesonide is a glucocorticoid that is a mix of the 22R and 22S epimer used to treat inflammatory conditions of the lungs and intestines such as asthma, COPD, Crohn's disease, and ulcerative colitis.5,6 Budesonide was granted FDA approval on 14 February 1994.8 It is also available in a combination product with formoterol.14","['DrugA', 'DrugB', 'DrugC']"
131,DB00324,Fluorometholone,Small Molecule,C22H29FO4,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,"A glucocorticoid employed, usually as eye drops, in the treatment of allergic and inflammatory conditions of the eye. It has also been used topically in the treatment of various skin disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p732)","['DrugA', 'DrugB', 'DrugC']"
132,DB00846,Flurandrenolide,Small Molecule,C24H33FO6,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,"A corticosteroid used topically in the treatment of various skin disorders. It is usually employed as a cream or an ointment, and is also used as a polyethylene tape with an adhesive. (From Martindale, The Extra Pharmacopoeia, 30th ed, p733)","['DrugA', 'DrugB', 'DrugC']"
133,DB00873,Loteprednol,Small Molecule,C21H27ClO5,[H][C@@]12CC[C@](O)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Not Available,"['DrugA', 'DrugB', 'DrugC']"
134,DB00838,Clocortolone,Small Molecule,C22H28ClFO4,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Clocortolone is a medium potency corticosteroid that is often used as a topical cream for the relief of inflammatory oand pruritic (itching) arising from steroid-responsive dermatoses of the scalp.,"['DrugA', 'DrugB', 'DrugC']"
135,DB01013,Clobetasol propionate,Small Molecule,C25H32ClFO5,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Clobetasol propionate is a prednisolone derivative with higher specificity for glucocorticoid receptors than mineralocorticoid receptors.10 It has demonstrated superior activity compared to fluocinonide4 and was first described in the literature in 1974.1 Clobetasol Propionate was granted FDA approval on 27 December 1985.9,"['DrugA', 'DrugB', 'DrugC']"
136,DB00375,Colestipol,Small Molecule,,,"Bile acid sequestrants like colestipol have been in use since the 1970s.Label,5,7,3 And even though such an agent may very well be useful in reducing elevated cholesterol levels and decreasing the risk for atherosclerotic vascular disease due to hypercholesterolemia, colestipol is still generally only employed as an adjunct therapy and the relatively physical nature of its pharmacological activity sometimes limits its usefulness.Label,5,7,3 In particular, as colestipol's general mechanism of action ultimately results in the decreased absorption and enhanced secretion of bile acids and lipids in the feces, patients who take complicated medication regimens, experience constipation or biliary obstruction, etc. may not be good candidates for using the agent owing to its physical effects on the gut.Label,5,7,3 Alternatively, colestipol predominantly elicits its activities within the gut environment because it undergoes little absorption and metabolism.Label,5,7,3 The resultant lack of systemic exposure consequently means the medication generally demonstrates very few adverse effects inside the body.Label,5,7,3","['DrugA', 'DrugB', 'DrugC']"
137,DB01118,Amiodarone,Small Molecule,C25H29I2NO3,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,"Amiodarone is a benzofuran derivative, anti-arrhythmic drug used commonly in a variety of settings.4 Most known for its approved indication in life-threatening ventricular arrhythmias, it is also used off-label in the outpatient and inpatient setting for atrial fibrillation. Because of its ability to cause serious toxicity and possibly death, amiodarone use should be reserved for its approved indications, according to prescribing information.18,19,20","['DrugA', 'DrugB', 'DrugC']"
138,DB00415,Ampicillin,Small Molecule,C16H19N3O4S,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,Ampicillin is a semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.,"['DrugA', 'DrugB', 'DrugC']"
139,DB00335,Atenolol,Small Molecule,C14H22N2O3,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,"Atenolol is a cardioselective beta-blocker used in a variety of cardiovascular conditions.  Sir James Black, a Scottish pharmacologist, pioneered the use of beta-blockers for the management of angina pectoris in 1958 for which he received the Nobel Prize.19 Beta-blockers quickly became popular in clinical use and where subsequently investigated for use in myocardial infarction, arrhythmias, and hypertension during the 1960s. Later they continued to be investigated for use in heart failure throughout the 1970-1980s. Atenolol itself was developed early on in this history by Alvogen Malta under the trade name Tenormin and received FDA approval in September, 1981.Label Despite being one of the most widely prescribed beta blockers, evidence suggests atenolol may not significantly reduce mortality, and only modestly reduce the risk of cardiovascular disease in patients with hypertension.20,21 A Cochrane review of patients being treated for primary hypertension shows that atenolol shows a risk ratio of 0.88 for cardiovascular disease risk and a risk ratio of 0.99 for mortality.20,21 Similar results have been found in other meta-analyses.22,23 A meta-analysis of over 145,000 patients showed the risk of stroke in patients taking atenolol may depend on the age of the patient.23 The use of atenolol may need to be based on more patient factors than hypertension alone.20,21,22,23","['DrugA', 'DrugB', 'DrugC']"
140,DB00615,Rifabutin,Small Molecule,C46H62N4O11,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,A broad-spectrum antibiotic that is being used as prophylaxis against disseminated Mycobacterium avium complex infection in HIV-positive patients.,"['DrugA', 'DrugB', 'DrugC']"
