id,order_id,drugbank_id,name,category,chemical_formula,smiles,description,related_drugs,pharmacodynamics,action_mechanism,protein_binding,metabolism
5220,5220,DB05220,Alisertib,"Protein Kinase Inhibitors, component, function",,COC1=CC(NC2=NC=C3CN=C(C4=CC(Cl)=CC=C4C3=N2)C2=C(OC)C=CC=C2F)=CC=C1C(O)=O,Alisertib is a novel aurora A kinase inhibitor under investigation for the treatment of various forms of cancer.,,,,,
5221,5221,DB05221,,,,,,,,,,
5222,5222,DB05222,KB001,"component, process",,,"KB001 is a Humaneered&trade; PEGylated monoclonal antibody fragment for the treatment of life-threatening Pseudomonas aeruginosa infections, a common problem of cystic fibrosis and mechanically ventilated patients.",,"KaloBios is developing KB001, a PEGylated engineered human Fab' fragment for the prevention and treatment of <em>Pseudomonas aeruginosa</em> infections. The Fab' fragment is specific for the PcrV antigen, an essential component of the Type III secretion system, a key virulence factor with multiple roles in both infection and pathogenesis. KB001 shows potent activity in mouse models of pulmonary infection, reducing mortality and leading to effective clearance of bacteria from infected lungs. This molecule therefore represents an attractive candidate for clinical evaluation in the prevention or treatment of <em>Pseudomonas</em> infection in Cystic Fibrosis, pneumonia, and other indications.","KB001 targets and neutralizes the PcrV protein of the Type III secretion system of the Pseudomonas bacterium, which directly inhibits its toxic effects. This mechanism of action is different from that of other antibiotics and represents a new approach in the treatment of bacterial infections.",,
5223,5223,DB05223,Pracinostat,"Antineoplastic Agents, Heterocyclic Compounds, Fused-Ring, Histone Deacetylase Inhibitors",,CCCCC1=NC2=C(C=CC(\C=C\C(=O)NO)=C2)N1CCN(CC)CC,"Pracinostat is a novel HDAC inhibitor with improved in vivo properties compared to other HDAC inhibitors currently in clinical trials, allowing oral dosing. Data demonstrate that Pracinostat is a potent and effective anti-tumor drug with potential as an oral therapy for a variety of human hematological and solid tumors.","Ivabradine, Vorinostat, Dofetilide, Citalopram, Anagrelide, Disopyramide","SB939 is a novel compound with superior pharmaceutical, metabolic and pharmacokinetic properties. SB939 has demonstrated excellent in vivo anti-tumour activity in various animal models with dose proportional pharmacodynamic effects. The pharmacokinetics and pharmacodynamic attributes of SB939 explain and differentiate it as the best in class HDAC inhibitor.","Inhibition of HDAC activity allows for the accumulation of acetyl groups on the histone lysine residues resulting in an open chromatin structure and transcriptional activation. In vitro, SB939 causes the accumulation of acetylated histones and induces cell cycle arrest and/or apoptosis of some transformed cells. The mechanism of the antineoplastic effect of SB939 has not been fully characterized.",,
5224,5224,DB05224,REP8839,"Amines, Polyamines, Sulfur Compounds",,,REP8839 is a novel methionyl-tRNA synthetase (MetS) inhibitor being developed by Replidyne (GlaxoSmithKline licensed REP8839 to Replidyne in June of 2003).,,"REP8839 is a novel methionyl-tRNA synthetase (MetS) inhibitor with potent antibacterial activity against clinical isolates of Staphylococcus aureus, Streptococcus pyogenes, and other clinically important gram-positive bacteria but little activity against gram-negative bacteria.","REP8839 exerts its antibacterial activity through specific inhibition of MetS, a novel target.",REP8839 is highly bound to human serum proteins.,
5225,5225,DB05225,AM103,"Acids, Acyclic, Fatty Acids, Fatty Acids, Volatile",,,"AM103 is a novel inhibitor of 5-lipoxygenase-activiting protein (FLAP) that has demonstrated potential to treat asthma and cardiovascular disease by preventing the synthesis of LT, which triggers inflammation. It is being developed by Amira.",,"Results from the Phase I trial show that AM103 is safe and well-tolerated at doses up to 1,000 mg per day with no evidence of significant side effects. Pharmacodynamic data demonstrated a robust and statistically significant reduction of LTB4 and LTE4 in a dose-dependent manner.","The exact mechanism of actions is not known, however, AM103 inhibits the 5-lipoxygenase-activiting protein (FLAP). This prevents the synthesis of LT, which normally triggers inflammation.",,
5226,5226,DB05226,BTA9881,"component, process",,,BTA9881 is a respiratory syncytial virus (RSV) antiviral drug developed by the Australian company Biota Holdings. It is currently in phase I trials.,,"BTA9881 will be used to stop replication of RSV in an infected patient with the aim of clearing the infection or reducing the clinical impact of the disease. Respiratory syncytial virus (RSV) infects people of all ages, but particularly infants, causing similar symptoms to influenza. In the northern hemisphere, the RSV season usually starts in the fall and runs through the spring. The virus is highly contagious, infecting virtually all infants under the age of two and re-infection is common. For example approximately 50 percent of children will experience two RSV infections by the age of two.","BTA9881 is a small molecule fusion glycoprotein inhibitor, designed to specifically inhibit the process by which respiratory syncytial virus (RSV) infects a cell.",,
5227,5227,DB05227,APD791,"Acids, Carbocyclic, Amides, Antidepressive Agents",,,"APD791 is an oral anti-thrombotic drug candidate being evaluated in a Phase 1 clinical trial by Arena. APD791 is intended to lower the risk of arterial thrombosis by reducing the amplification of platelet aggregation, arterial constriction and intimal hyperplasia mediated by serotonin.","Buprenorphine, Doxylamine, Dronabinol, Droperidol, Hydrocodone, Hydroxyzine","APD791 is intended to lower the risk of arterial thrombosis by reducing the amplification of platelet aggregation, arterial constriction and intimal hyperplasia mediated by serotonin. Preclinical testing suggests that APD791 could have a unique risk-benefit profile because its anti-thrombotic activity may be less likely to cause the increased bleeding seen with anti-thrombotic agents that are members of other classes of drugs.","APD791 targets the 5-HT2A serotonin receptor, blocking the signal of serotonin, which facilitates thrombosis.",,
5228,5228,DB05228,RDEA806,"component, function, process",,,RDEA806 is a new HIV non-nucleoside reverse transcriptase inhibitor (NNRTI) with a high genetic barrier to resistance and a broad spectrum of activity.,,"RDEA806 is a potent HIV non-nucleoside reverse transcriptase inhibitor (NNRTI) with a high genetic barrier to resistance and a broad spectrum of activity. RDEA806 is highly active in vitro against wild-type and the majority of HIV strains carrying key reverse transcriptase mutations. RDEA806 has the potential to be used in both naive and treatment-experienced patients and has a much higher barrier to resistance than currently approved NNRTIs, which could translate into delayed onset of resistance.",RDEA806 binds directly to viral reverse transcriptase (RT) and blocks the RNA-dependent and DNA-dependent DNA polymerase activities by disrupting the enzyme's catalytic site.,,
5229,5229,DB05229,Beraprost,"Anticoagulants, Antiplatelet agents, Autacoids",,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C1=C(O2)C(CCCC(O)=O)=CC=C1,"Beraprost is a synthetic analogue of prostacyclin, under clinical trials for the treatment of pulmonary hypertension. It is also being studied for use in avoiding reperfusion injury.","Apixaban, Dabigatran etexilate, Dasatinib, Deferasirox, Edoxaban, Ibrutinib","Beraprost is a stable, orally active prostacyclin analogue with vasodilatory, antiplatelet and cytoprotective effects. Beraprost is generally well tolerated and appears to be an effective agent in the treatment of patients with Buerger's disease and arteriosclerosis obliterans. Comparative data from a large randomised trial indicated that the drug appears as effective as ticlopidine in patients with these conditions. In patients with intermittent claudication, significant benefits of beraprost compared with placebo were reported in a randomised clinical trial; however, the use of beraprost in these patients is not supported by recent preliminary unpublished data from a large, phase III, placebo-controlled study. Limited data suggest some efficacy with long-term beraprost treatment of patients with PAH, where options are few and where oral administration of the drug could be a considerable advantage over intravenous prostacyclin (PGI2) therapy.",Beraprost acts by binding to prostacyclin membrane receptors ultimately inhibiting the release of Ca<sup>2+</sup> from intracellular storage sites. This reduction in the influx of Ca<sup>2+</sup> has been postulated to cause relaxation of the smooth muscle cells and vasodilation.,,
5230,5230,DB05230,AC3056,,,,AC3056 is a non-peptide antioxidant that acts as an inhibitor of vascular cell adhesion molecule expression originally developed by Aventis Pharmaceuticals. It as since been acquired by Amylin Pharmaceuticals and has completed phase I trials.,,"Oral administration of AC3056 results in dose-dependent antioxidant activity and was well tolerated. In 2002, positive results were reported from a phase I trial. In the double-blind, placebo-controlled, crossover trial, 14 healthy subjects received an oral formulation of AC3056 in a dose-escalating manner. Results demonstrated dose-dependent increases in blood levels of AC3056, as well as dose-dependent increases in serum antioxidant activity. The drug was well tolerated with no safety concerns.",,,
5231,5231,DB05231,,,,,,,,,,
5232,5232,DB05232,Tetrodotoxin,"Anesthetics, Anesthetics, Local, Biological Factors",,[H][C@]12OC3([O-])OC(C4C(O)[NH+]=C(N)NC4(C1O)[C@@H]3O)C2(O)CO,"An aminoperhydroquinazoline poison found mainly in the liver and ovaries of fishes in the order tetraodontiformes, which are eaten. The toxin causes paresthesia and paralysis through interference with neuromuscular conduction. Tetrodotoxin is being investigated by Wex Pharmaceuticals for the treatment of chronic and breakthrough pain in advanced cancer patients as well as for the treatment of opioid dependence.","Buprenorphine, Doxylamine, Dronabinol, Droperidol, Hydrocodone, Hydroxyzine",,Tetrodotoxin binds to site 1 of the fast voltage-gated sodium channel located at the extracellular pore opening. The binding of any molecules to this site will temporarily disable the function of the ion channel. Saxitoxin and several of the conotoxins also bind the same site.,,
5233,5233,DB05233,AP1081,"component, function, process",,,A transdermal gel containing ethinyl estradiol and norelgestromin being investigated by Antares Pharma for use as a female contraceptive.,,,"Estrogens diffuse into their target cells and interact with a protein receptor. Target cells include the female reproductive tract, the mammary gland, the hypothalamus, and the pituitary. Estrogens increase the hepatic synthesis of sex hormone binding globulin (SHBG), thyroid-binding globulin (TBG), and other serum proteins and suppress follicle-stimulating hormone (FSH) from the anterior pituitary. The combination of an estrogen with a progestin suppresses the hypothalamic-pituitary system, decreasing the secretion of gonadotropin-releasing hormone (GnRH).",,
5234,5234,DB05234,LGD2941,"Heterocyclic Compounds, Fused-Ring, Quinolines, component",,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1,"LGD2941 is a non-steroidal, selective androgen receptor modulator (SARM) developed jointly by Ligand and TAP.",,"LGD2941 is a non-steroidal, selective androgen receptor modulator (SARM). SARMs are a novel class of non-steroidal, orally active molecules that selectively modulate the activity of the androgen receptor (AR) in different tissues, providing a wide range of opportunities for the treatment of many diseases and disorders with large patient populations in both men and women. Tissue-selective AR agonists or antagonists may provide utility in male hormone therapy and the treatment of patients with male hypogonadism, female and male osteoporosis, male and female sexual dysfunction, frailty, prostate cancer, hirsutism, acne, androgenetic alopecia and other diseases.",LGD2941 selectively modulates the activity of the androgen receptor (AR) in different tissues.,,
5235,5235,DB05235,NRP409,"component, function, process",,,"NRP409 is a triiodothyronine (T3) hormone, being investigated by New River Pharmaceuticals as a treatment for patients with primary hypothyroidism.",,"The company is hoping that NRP409 will mark a significant improvement in thyroid HRT by reducing the variability of the more active hormone's availability, while reducing the safety risk associated with other T3 based therapies.","NRP409 is presumed to work like the endogenous thyroid hormone thyroxine (T<sub>4</sub>, a tetra-iodinated tyrosine derivative). In the liver and kidney, T<sub>4</sub> is converted to T<sub>3</sub>, the active metabolite. In order to increase solubility, the thyroid hormones attach to thyroid hormone binding proteins, thyroxin-binding globulin, and thyroxin-binding prealbumin (transthyretin). Transport and binding to thyroid hormone receptors in the cytoplasm and nucleus then takes place. Thus by acting as a replacement for natural thyroxine, symptoms of thyroxine deficiency are relieved.",,
5236,5236,DB05236,ReN001,,,,ReN001 is a clonal human neural stem cell line developed for clinical use in the treatment of stable disability after stroke. ReN001 a strong candidate for one of the first cell-based IND applications to be submitted to the Food and Drug Administration in the United States for consideration for the treatment of stroke in humans.,,ReN001 is a clonal human neural stem cell line which has been conditionally immortalized using the fusion transgene c-mycERTAM to allow controlled expansion when cultured in the presence of 4-hydroxytamoxifen. The cell line has been banked and fully characterized to assure there is genetic stability and no phenotypic drift with extended passages. In vivo studies determined the ability of the cell line to survive after implantation into damaged brain and its efficacy in the reduction of chronic behavioural dysfunction after implantation into a rodent model of stroke damage. A further study was conducted in this model and a dose-dependent effect was observed on behavioural recovery. No safety or toxicology issues were identified in in vivo studies with this cell line.,,,
5237,5237,DB05237,rhMBL,,,,rhMBL is a protein therapeutic being developed by Enzon for the prevention and treatment of severe infections in individuals with low levels of Mannose-Binding Lectin (MBL). Over 10 percent of the general population is estimated to be MBL-deficient. Natural MBL is a 400-700kDa oligomer made of 3 identical 32kDa peptide chains.    MBL forms different oligomers but must form at least a tetramer to be active.,,,"MBL deficiency may explain why some but not all individuals who are immunosuppressed develop infectious complications even when they receive prophylactic anti-infectious treatment. Studies have shown a correlation between low MBL levels and susceptibility to serious infections in patients immunosuppressed from chemotherapy, including patients with multiple myeloma undergoing high-dose chemotherapy and hematopoietic stem cell transplantation. rhMBL acts as natural MBL in the body, reducing susceptibility to serious infections.",,
5238,5238,DB05238,Vemurafenib,"Amides, Antineoplastic Agents, Antineoplastic and Immunomodulating Agents",,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C(F)C=C1,"Vemurafenib is a competitive kinase inhibitor with activity against BRAF kinase with mutations like V600E.[A31269] It exerts its function by binding to the ATP-binding domain of the mutant BRAF.[A31270] Vemurafenib was co-developed by Roche and Plexxikon and it obtained its FDA approval on August 17, 2011, under the company Hoffmann La Roche. After approval, Roche in collaboration with Genentech launched a broad development program. [L1012]","Modafinil, Armodafinil, Bosutinib, Brentuximab vedotin, Edoxaban, Ledipasvir","BRAF activation results in cell growth, proliferation, and metastasis. BRAF is an intermediary molecule in MAPK whose activation depends on ERK activation, elevation of cyclin D1 and cellular proliferation. The mutation V600E produces a constitutively form of BRAF. Vemurafenib has been shown to reduce all activation markers related to BRAF; in clinical trials, vemurafenib treatment showed a reduction of cytoplasmic phosphorylated ERK and a cell proliferation driven by Ki-67. Studies also reported decrease in MAPK-related metabolic activity.[A31270] All the different reports indicate thet Vemurafenib generates an almost complete inhibition of the MAPK pathway.",Vemurafenib is an orally available inhibitor of mutated BRAF-serine-threonine kinase. Vemurafenif is a small molecule that interacts as a competitive inhibitor of the mutated species of BRAF. It is especially potent against the BRAF V600E mutation. Vemurafenib blocks downstream processes to inhibit tumour growth and eventually trigger apoptosis. Vemurafenib does not have antitumour effects against melanoma cell lines with the wild-type BRAF mutation.[L1014],Vemurafenib highly binds to plasma proteins where >99% of the administered dose will be found protein bound to serum albumin and alpha-1 acid glycoprotein.[A31274],Vemurafenib is metabolized by CYP3A4 and the metabolites make up 5% of the components in plasma. The parent compound makes up for the remaining 95%.[A31274]
5239,5239,DB05239,Cobimetinib,"Antineoplastic Agents, Antineoplastic and Immunomodulating Agents, Cytochrome P-450 CYP2D6 Inhibitors",,OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1,"Cobimetinib is an orally active, potent and highly selective small molecule inhibiting mitogen-activated protein kinase kinase 1 (MAP2K1 or MEK1), and central components of the RAS/RAF/MEK/ERK signal transduction pathway. It has been approved in Switzerland and the US, in combination with vemurafenib for the treatment of patients with unresectable or metastatic BRAF V600 mutation-positive melanoma.","Modafinil, Armodafinil, Ranolazine, Phenytoin, Fosphenytoin, Metreleptin","Cobimetinib is a reversible inhibitor of mitogen-activated protein kinase 1 (MAPK)/extracellular signal-regulated kinase 1 (MEK1) and MEK2. Preclinical studies have demonstrated that this agent is effective in inhibiting the growth of tumor cells bearing a BRAF mutation, which has been found to be associated with many tumor types. A threonine-tyrosine kinase and a key component of the RAS/RAF/MEK/ERK signaling pathway that is frequently activated in human tumors, MEK1 is required for the transmission of growth-promoting signals from numerous receptor tyrosine kinases. Cobimetinib is used in combination with vemurafenib because the clinical benefit of a BRAF inhibitor is limited by intrinsic and acquired resistance. Reactivation of the MAPK pathway is a major contributor to treatment failure in BRAF-mutant melanomas, approximately ~80% of melanoma tumors become BRAF-inhibitor resistant due to reactivation of MAPK signaling. BRAF-inhibitor-resistant tumor cells are sensitive to MEK inhibition, therefore cobimetinib and vemurafenib will result in dual inhibition of BRAF and its downstream target, MEK.[A3298,A3300,A3301]","Cobimetinib is a reversible inhibitor of mitogen-activated protein kinase (MAPK)/extracellular signal-regulated kinase 1 (MEK1) and MEK2. MEK proteins are upstream regulators of the extracellular signal-related kinase (ERK) pathway, which promotes cellular proliferation. BRAF V600E and K mutations result in constitutive activation of the BRAF pathway which includes MEK1 and MEK2. In mice implanted with tumor cell lines expressing BRAF V600E, cobimetinib inhibited tumor cell growth.[L43717]     Cobimetinib and vemurafenib target two different kinases in the RAS/RAF/MEK/ERK pathway. Compared to either drug alone, coadministration of cobimetinib and vemurafenib resulted in increased apoptosis in vitro and reduced tumor growth in mouse implantation models of tumor cell lines harboring BRAF V600E mutations. Cobimetinib also prevented vemurafenib-mediated growth enhancement of a wild-type BRAF tumor cell line in an in vivo mouse implantation model.[L43717]","Cobimetinib is 95% bound to human plasma proteins in vitro, independent of drug concentration.[L43717]",Cobimetinib is mainly metabolized via CYP3A oxidation and UGT2B7 glucuronidation with no major metabolites formed.[L43717]
5240,5240,DB05240,Pilaralisib,"Amides, Heterocyclic Compounds, Fused-Ring, Phosphatidylinositol 3-Kinases, antagonists & inhibitors",,COC1=CC=C(Cl)C(NC2=C(NS(=O)(=O)C3=CC(NC(=O)C(C)(C)N)=CC=C3)N=C3C=CC=CC3=N2)=C1,"Pilaralisib is an orally available small molecule that selectively inhibits the activity of phosphoinositide-3 kinase (PI3K). Pilaralisib has been used in trials studying the treatment of Cancer, Lymphoma, Solid Tumors, Glioblastoma, and Breast Cancer, among others.",,"In preclinical studies, Pilaralisib slowed tumor growth or caused tumor shrinkage in multiple preclinical cancer models, including breast, lung, ovarian, and prostate cancers, and gliomas. Pilaralisib has also been shown to enhance the anti- tumor effects of several chemotherapeutic agents and an inhibitor of epidermal growth factor receptor (EGFR) in preclinical cancer models.","Pilaralisib is an orally available small molecule that selectively inhibits the activity of phosphoinositide-3 kinase (PI3K). Activation of PI3K is a frequent event in human tumors, promoting tumor cell growth, survival, and resistance to chemotherapy and radiotherapy. Inactivation of PI3K has been shown to inhibit growth and induce apoptosis (programmed cell death) in tumor cells.",,
5241,5241,DB05241,XL765,"Amides, Heterocyclic Compounds, Fused-Ring, Phosphatidylinositol 3-Kinases, antagonists & inhibitors",,,"XL765 is an orally available small molecule that has been shown in preclinical studies to selectively inhibit the activity of phosphoinositide-3 kinase (PI3K) and mammalian target of rapamycin (mTOR). It is being developed by Exelixis, Inc.",,"XL765 is an orally available small molecule that has been shown in preclinical studies to selectively inhibit the activity of phosphoinositide-3 kinase (PI3K) and mammalian target of rapamycin (mTOR). Activation of PI3K is a frequent event in human tumors, promoting tumor cell growth, survival, and resistance to chemotherapy and radiotherapy. mTOR is also frequently activated in human tumors and plays a central role in tumor cell growth. mTOR can be activated via upregulation of PI3K, or via PI3K-independent mechanisms. Inactivation of PI3K has been shown to inhibit growth and induce apoptosis (programmed cell death) in tumor cells, whereas inactivation of mTOR has been shown to inhibit the growth of tumor cells. In preclinical studies, XL765 slowed tumor growth or caused tumor shrinkage in multiple preclinical cancer models, including breast, lung, ovarian, and prostate cancers, and gliomas. XL765 has also been shown to enhance the anti-tumor effects of several chemotherapeutic agents in preclinical cancer models. XL765 has at least a 24-hour duration of action against both PI3K and mTOR readouts in tumors in vivo following a single oral (PO) dose of 30-100 mg/kg.","XL765 inhibits the activity of phosphoinositide-3 kinase (PI3K), which is frequently activated in tumors and promotes cell growth, survival and resistance to chemotherapy and radiotherapy. XL765 also inhibits mammalian target of rapamycin (mTOR), which also is activated frequently in human tumors and plays a central role in tumor cell growth. XL765 potently inhibits Class I PI3K isoforms and mTOR.",,
5242,5242,DB05242,NUC B1000,,,,"NUC B1000 is an expressed interfering RNA (eiRNA)- based product consisting of a plasmid DNA construct designed to produce four short interfering RNA (siRNA) molecules, formulated with a proprietary cationic-lipid delivery system. [F3910] eiRNA is an approach to RNAi therapeutics, whereby a plasmid DNA coding for desired dsRNA is delivered to diseased cells enabling the cells to carry out dsRNA production internally thereby invoking the RNAi response against a targeted disease causing gene. On January 11, 2008, it was announced that NUC B1000 was entering a phase 1 human safety study of its experimental treatment for chronic Hepatitis B virus (HBV) infection.",,,"With eiRNA therapeutics, the drug consists of a DNA vector which encodes the double-stranded RNA molecules. When the DNA vector is administered to a cell or organism it will cause the cell to generate multiple copies of the desired RNAi molecules inside the cell and over an extended period of time, thereby amplifying the RNAi mechanism.",,
5243,5243,DB05243,XL019,"component, function, process",,,XL019 is a selective inhibitor of the cytoplasmic tyrosine kinase JAK2. An IND for XL019 was filed by Exelixis in May 2007.,,XL019 is a potent and selective JAK2 inhibitor with favorable pharmacodynamic properties and safety profile.,"XL019 is a selective inhibitor of the cytoplasmic tyrosine kinase JAK2. JAK2 is activated by cytokine and growth factor receptors and phosphorylates members of the STAT family of inducible transcription factors. Activation of the JAK/STAT pathway promotes cell growth and survival, and is a common feature of human tumors. JAK2 is activated by mutation in the majority of patients with polycythemia vera and essential thrombocytosis and appears to drive the inappropriate growth of blood cells in these conditions.",,
5244,5244,DB05244,G4544,,,,G4544 is an oral gallium compound that enables oral absorption of the active ingredient contained in Ganite&trade; (gallium nitrate injection). It targets bone tissue and is actively incorporated into bone mineral at sites where bone is metabolically active.,,"G4544 is one of a class of gallium containing compounds that were originally developed by the U.S. National Cancer Institute. In investigational studies, high doses of gallium nitrate demonstrated consistent antitumor activity in patients with non Hodgkin's lymphoma. However, experimental work by Genta personnel and others established that lower doses of gallium directly inhibited calcium release from bone, principally by decreasing bone resorption and possibly by also stimulating bone formation.","G4544 reduces bone loss by inhibiting calcium resorption from bone.  Preclinical evidence suggests that the mechanism of G4544 action is multifactorial and different from other current therapies used to treat bone loss, such as estrogen or selective estrogen receptor modulators (SERMs), calcitonin, or bisphosphonates (e.g., Zometa or Fosamax).  G4544 preferentially accumulates in metabolically active regions of bone, inhibits osteoclast-mediated bone resorption, and favorably alters bone mineral composition and properties.",,
5245,5245,DB05245,Silver sulfadiazine,"Amides, Amines, Aniline Compounds",,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1,Silver sulfadiazine is a sulfa derivative topical antibacterial used primarily on second- and third-degree burns.,"Magnesium, Benzylpenicillin, Estetrol, Allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen, Insulin human, Insulin lispro",Silver sulfadiazine has broad antimicrobial activity. It is bactericidal for many gram- negative and gram-positive bacteria as well as being effective against yeast. Silver sulfadiazine is not a carbonic anhydrase inhibitor and may be useful in situations where such agents are contraindicated.,"Studies utilizing radioactive micronized silver sulfadiazine, electron microscopy, and biochemical techniques have revealed that the mechanism of action of silver sulfadiazine on bacteria differs from silver nitrate and sodium sulfadiazine. Silver sulfadiazine acts only on the cell membrane and cell wall to produce its bactericidal effect. A specific mechanism of action has not been determined, but silver sulfadiazine's effectiveness may possibly be from a synergistic interaction, or the action of each component. Silver is a biocide, which binds to a broad range of targets. Silver ions bind to nucleophilic amino acids, as well as sulfhydryl, amino, imidazole, phosphate, and carboxyl groups in proteins, causing protein denaturation and enzyme inhibition.   Silver binds to surface membranes and proteins, causing proton leaks in the membrane, leading to cell death.   Sulfadiazine is a competitive inhibitor of bacterial para-aminobenzoic acid (PABA), a substrate of the enzyme dihydropteroate synthetase. The inhibited reaction is necessary in these organisms for the synthesis of folic acid.",,
5246,5246,DB05246,Methsuximide,"Agents causing hyperkalemia, Anti-epileptic Agent, Antiarrhythmic agents",,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,Mesuximide (or methsuximide) is an anticonvulsant medication. It is sold by Pfizer under the name Petinutin.,"Ceritinib, Ivabradine, Ruxolitinib, Cilostazol, Buprenorphine, Doxylamine","Used in the treatment of epilepsy. Methsuximide suppresses the paroxysmal three cycle per second spike and wave activity associated with lapses of consciousness which is common in absence (petit mal) seizures. The frequency of epileptiform attacks is reduced, apparently by depression of the motor cortex and elevation of the threshold of the central nervous system to convulsive stimuli.","Binds to T-type voltage sensitive calcium channels. Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1G gives rise to T-type calcium currents. T-type calcium channels belong to the ""low-voltage activated (LVA)"" group and are strongly blocked by mibefradil. A particularity of this type of channels is an opening at quite negative potentials and a voltage-dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes.",,
5247,5247,DB05247,Iodine,"Anti-Infective Agents, Anti-Infective Agents, Local, Antiseptics and Disinfectants",,II,"Iodine is commonly used as an antiseptic for minor cuts and abrasions, preventing infections that may result from contaminated wounds. Additionally, iodine has been studied in the treatment of fibrocystic disease and breast cancer.[A3413,A192153,A192156,A192159]",,,"Molecular iodine is known to inhibit the induction and promotion of N-methyl-n-nitrosourea-induced mammary carcinogenesis, to regress 7,12-dimethylbenz(a)anthracene-induced breast tumors in rats.It has also been shown to have beneficial effects in fibrocystic human breast disease.",,
5248,5248,DB05248,,,,,,,,,,
5249,5249,DB05249,FavId,"component, function, process",,,"FavId, is an active immunotherapy that is based upon unique genetic information extracted from a patient's tumor.",,,It is designed to stimulate a patient's immune system to mount a specific and sustained response to disease. FavId is currently being developed for use following treatment with existing standards of care to extend time to disease progression in patients with B-cell non-Hodgkin's lymphoma,,
5250,5250,DB05250,Dilmapimod,"p38 Mitogen-Activated Protein Kinases, antagonists & inhibitors, Pyridines, component",,CC1=CC(F)=CC=C1C1=C2C=CC(=O)N(C2=NC(NC(CO)CO)=N1)C1=C(F)C=CC=C1F,"Dilmapimod has been used in trials studying the treatment and diagnostic of Nerve Trauma, Inflammation, Pain, Neuropathic, Arthritis, Rheumatoid, and Coronary Heart Disease, among others. Dilmapimod (SB-681323) is a p38 MAP-kinase inhibitor that has potential uses in inflammatory conditions such as RA (Rheumatoid Arthritis). Previous p38 MAP-kinase inhibitors have been hindered in development by liver toxicity. Methotrexate (common treatment for RA patients) also has potential liver toxicity.}",,,"Dilmapimod reduces the levels of proinflammatory cytokines and chemokines and reduce cellular infiltration to sites of inflammation, thereby reducing local damage.   In diseases such as RA and IBD, TNFα blockade through either anti-TNFα antibodies or use of soluble TNFα receptors. Inhibition of p38α offers significant inhibition of TNFα, and cytokines such as IL-1β and IL-6, which offer additional therapeutic efficacy.",,
5251,5251,DB05251,,,,,,,,,,
5252,5252,DB05252,Fenoxaprop-ethyl,"Acids, Acyclic, Agrochemicals, Compounds used in a research, industrial, or household setting",,CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,"Fenoxaprop-ethyl (organic nitrate combined with L-arginine), is an oral proprietary nitrate therapeutic shown to induce coronary vasodilation while overcoming the significant problem of drug tolerance. Fenoxaprop-ethyl has been investigated to treat chronic angina, the chest pain that occurs from inadequate blood flow to the coronary arteries around the heart.",,,"Fenoxaprop-ethyl is a proprietary combination of nitrate and L-arginine that provides the beneficial cardiovascular effects of nitrates. Combining L-arginine with organic nitrates prevents the endothelial cell's depletion of L-arginine and the associated problem of nitrate tolerance. By eliminating nitrate tolerance, Fenoxaprop-ethyl allows patients to receive the continuous, 24-hour benefit of a potent nitrate product, thus sustaining the desired vasodilation effect.",,
5253,5253,DB05253,Telapristone acetate,"Fused-Ring Compounds, Norpregnanes, Norsteroids",,[H][C@@]12CC[C@](OC(C)=O)(C(=O)COC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],"Telapristone acetate, an orally-available, selective progesterone receptor modulator, is in development to alleviate symptoms associated with both uterine fibroids and endometriosis.",,"Patients receiving Proellex saw improvements in key symptoms associated with uterine fibroids, namely reduced pain and bleeding, as well as effects on bone retention.","Proellex selectively blocks the progesterone receptor thus avoiding the adverse effects of GnRH agonists associated with the induction of a low estrogen, menopausal-like state in women.",,
